               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10166,            0.080758,            0.097316,           0.0011054,            0.041316,           0.0012434,          0.00033143,            0.089882,            0.063187,            0.086606,             0.07015,           0.0033167,           0.0033167
                   1,            0.080163,            0.082737,            0.083447,             0.95856,           0.0085353,           0.0054831,           0.0018622,            0.076642,             0.06488,            0.077455,            0.040128,           0.0066281,           0.0066281
                   2,            0.075356,            0.081105,            0.077561,           0.0042272,             0.17618,           0.0092091,           0.0030708,            0.074406,            0.058686,            0.072578,            0.010084,           0.0099174,           0.0099174
                   3,             0.07028,            0.079599,            0.074638,           0.0056876,             0.24425,            0.018291,           0.0068353,            0.067006,            0.060004,            0.068803,            0.009901,            0.009901,            0.009901
                   4,            0.066152,            0.079617,            0.071587,             0.66684,            0.042007,            0.026877,             0.01145,            0.063725,            0.058968,            0.066288,            0.009901,            0.009901,            0.009901
                   5,            0.064301,            0.078707,            0.068859,             0.64798,            0.049696,            0.032848,            0.013704,            0.062711,            0.058478,            0.063825,            0.009868,            0.009868,            0.009868
                   6,            0.063473,            0.077585,            0.066898,             0.61499,            0.065159,            0.042617,            0.018056,            0.063212,            0.058122,             0.06064,            0.009835,            0.009835,            0.009835
                   7,            0.062139,            0.077077,            0.064918,              0.5896,            0.075007,            0.051229,              0.0217,            0.062765,             0.05754,            0.058574,            0.009802,            0.009802,            0.009802
                   8,            0.061399,            0.076338,            0.062434,             0.51942,             0.10666,            0.068429,             0.03057,            0.060146,             0.05708,            0.056145,            0.009769,            0.009769,            0.009769
                   9,            0.061102,            0.076867,            0.060824,              0.5362,             0.11011,            0.074982,            0.033076,            0.061026,            0.057153,            0.055635,            0.009736,            0.009736,            0.009736
                  10,            0.060753,            0.075782,            0.059136,             0.53497,             0.12178,            0.088928,             0.03881,            0.059771,            0.056277,            0.053523,            0.009703,            0.009703,            0.009703
                  11,            0.060006,            0.075613,            0.058026,             0.53277,             0.14309,             0.10014,             0.04657,            0.059007,            0.056621,            0.051695,             0.00967,             0.00967,             0.00967
                  12,             0.06019,            0.076279,            0.056824,              0.5076,             0.14822,             0.11189,            0.053177,            0.058322,            0.056056,            0.050441,            0.009637,            0.009637,            0.009637
                  13,            0.059563,             0.07563,            0.054935,             0.49916,             0.16936,             0.12754,            0.057478,            0.058074,            0.055726,            0.048723,            0.009604,            0.009604,            0.009604
                  14,            0.058946,            0.075367,            0.054484,             0.45479,             0.17382,             0.12808,            0.060502,            0.058195,            0.056092,            0.047889,            0.009571,            0.009571,            0.009571
                  15,             0.05854,             0.07319,             0.05297,             0.55536,             0.17954,             0.14843,            0.069899,            0.057793,            0.055375,            0.046371,            0.009538,            0.009538,            0.009538
                  16,            0.058668,             0.07511,            0.051418,             0.46118,             0.18944,             0.15406,            0.071237,             0.05747,            0.055229,            0.045145,            0.009505,            0.009505,            0.009505
                  17,            0.058725,            0.074432,            0.050437,             0.49964,              0.1873,             0.16717,            0.079299,            0.057412,            0.055603,            0.044587,            0.009472,            0.009472,            0.009472
                  18,            0.058189,             0.07279,            0.049712,             0.50852,             0.19707,             0.18191,            0.088576,            0.056804,            0.054205,            0.042862,            0.009439,            0.009439,            0.009439
                  19,            0.058178,            0.073531,            0.048042,             0.45968,             0.21413,             0.18844,            0.090183,            0.057147,            0.054579,            0.042501,            0.009406,            0.009406,            0.009406
                  20,            0.057665,            0.072129,            0.047219,             0.43689,             0.22676,             0.20443,            0.099268,            0.056203,            0.055003,            0.040853,            0.009373,            0.009373,            0.009373
                  21,            0.057405,            0.072512,            0.046659,             0.44637,             0.23833,             0.21316,             0.10349,            0.056366,            0.055079,            0.040147,             0.00934,             0.00934,             0.00934
                  22,            0.057169,             0.07305,            0.045249,             0.49333,             0.23142,             0.22245,             0.11112,             0.05542,            0.054274,            0.039194,            0.009307,            0.009307,            0.009307
                  23,            0.057395,            0.071333,            0.044593,             0.43427,             0.26263,             0.23377,             0.11396,            0.055414,             0.05356,             0.03829,            0.009274,            0.009274,            0.009274
                  24,            0.056841,            0.070673,            0.043363,             0.46435,             0.26387,             0.24542,              0.1214,             0.05584,            0.053585,            0.037537,            0.009241,            0.009241,            0.009241
                  25,            0.056766,            0.072847,            0.043192,              0.4365,             0.28146,             0.25659,             0.12918,            0.055367,             0.05411,            0.036664,            0.009208,            0.009208,            0.009208
                  26,            0.056833,            0.071439,            0.041633,             0.42531,             0.29209,             0.27243,             0.13965,            0.054838,            0.053518,             0.03657,            0.009175,            0.009175,            0.009175
