               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1009,            0.081151,            0.097739,           0.0014867,            0.066238,           0.0018256,          0.00051658,              0.0882,            0.064108,            0.086438,             0.07015,           0.0033167,           0.0033167
                   1,            0.078758,            0.080742,            0.083073,             0.97014,           0.0077294,           0.0080956,           0.0026908,            0.074328,            0.061704,            0.076586,            0.040128,           0.0066281,           0.0066281
                   2,             0.07319,            0.077353,             0.07635,           0.0055896,             0.23876,            0.015852,           0.0061347,            0.069975,            0.056578,            0.071318,            0.010084,           0.0099174,           0.0099174
                   3,            0.067915,             0.07557,            0.073044,             0.72589,            0.034989,            0.028618,            0.012306,            0.064477,             0.05713,            0.067685,            0.009901,            0.009901,            0.009901
                   4,            0.064763,            0.075612,            0.069852,             0.69375,            0.058541,            0.040803,            0.018975,            0.062295,             0.05614,             0.06332,            0.009901,            0.009901,            0.009901
                   5,            0.062324,            0.075378,            0.066321,             0.63958,            0.069336,            0.051351,            0.024893,            0.060874,            0.055723,            0.061043,            0.009868,            0.009868,            0.009868
                   6,            0.061685,            0.074327,            0.064111,             0.59421,            0.097115,            0.070191,            0.031671,            0.061455,            0.055674,            0.058398,            0.009835,            0.009835,            0.009835
                   7,            0.060478,            0.073615,            0.062027,             0.57078,             0.11493,            0.084172,            0.038576,            0.061173,            0.055382,            0.055867,            0.009802,            0.009802,            0.009802
                   8,             0.05987,            0.072939,            0.059454,             0.57518,             0.13922,             0.10512,            0.050492,            0.058344,            0.054582,            0.053196,            0.009769,            0.009769,            0.009769
                   9,            0.059898,            0.073812,            0.057667,             0.51964,             0.15414,             0.12366,            0.057697,            0.060157,            0.054603,            0.051727,            0.009736,            0.009736,            0.009736
                  10,            0.059487,            0.072759,            0.055855,             0.60337,             0.16944,             0.14514,            0.068184,            0.058742,            0.053795,            0.049733,            0.009703,            0.009703,            0.009703
                  11,            0.059177,            0.072379,            0.054378,             0.59601,             0.17697,             0.16202,            0.073442,            0.058042,            0.055068,            0.047532,             0.00967,             0.00967,             0.00967
                  12,            0.058982,            0.072975,            0.052758,             0.61618,             0.19751,             0.19343,            0.093552,              0.0578,            0.053631,            0.046277,            0.009637,            0.009637,            0.009637
                  13,            0.058372,            0.072376,            0.050467,             0.57081,             0.20774,             0.20462,            0.095426,            0.057161,            0.053223,            0.044501,            0.009604,            0.009604,            0.009604
                  14,            0.058064,            0.072074,            0.049757,             0.55949,             0.22812,             0.21713,             0.10611,            0.057563,            0.053707,            0.043819,            0.009571,            0.009571,            0.009571
                  15,             0.05777,            0.069942,            0.048095,             0.54793,             0.23598,             0.24095,             0.11584,            0.057018,            0.053834,            0.041833,            0.009538,            0.009538,            0.009538
