               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054552,            0.088829,            0.052551,             0.42468,             0.28262,             0.27233,             0.15617,            0.050529,            0.060239,            0.031076,             0.07015,           0.0033167,           0.0033167
                   1,            0.050481,               0.079,            0.035699,              0.4795,             0.34073,             0.34621,             0.19222,            0.050431,             0.05793,            0.026966,            0.040128,           0.0066281,           0.0066281
                   2,             0.05201,             0.07812,             0.03347,             0.48304,             0.35391,              0.3622,             0.19434,            0.052424,            0.057335,             0.02666,            0.010084,           0.0099174,           0.0099174
                   3,            0.053157,            0.077484,            0.035103,             0.47743,             0.33117,             0.33479,              0.1742,            0.054057,            0.058387,            0.028117,            0.009901,            0.009901,            0.009901
                   4,            0.053641,            0.077411,             0.03419,             0.54807,             0.33399,             0.35612,              0.1858,            0.054047,            0.057359,            0.027081,            0.009901,            0.009901,            0.009901
                   5,            0.053188,            0.077011,            0.033538,              0.4431,             0.34134,             0.32595,             0.17178,            0.054703,            0.059277,            0.029058,            0.009868,            0.009868,            0.009868
                   6,            0.053082,             0.07578,            0.032279,             0.52088,             0.36049,              0.3812,             0.19947,            0.053707,             0.05702,            0.026126,            0.009835,            0.009835,            0.009835
                   7,            0.052377,            0.075048,            0.030801,             0.51691,              0.3829,             0.39717,             0.21481,            0.051876,            0.056146,            0.024737,            0.009802,            0.009802,            0.009802
                   8,            0.051963,            0.074965,            0.030578,             0.52016,             0.38911,             0.40275,             0.21905,            0.051804,            0.056022,            0.024498,            0.009769,            0.009769,            0.009769
                   9,            0.052149,            0.075217,            0.029562,             0.49753,             0.40399,             0.41472,             0.22381,            0.051683,            0.055899,            0.023521,            0.009736,            0.009736,            0.009736
                  10,            0.052102,            0.074414,            0.029015,              0.5644,             0.38465,              0.4126,             0.22453,            0.052038,            0.055385,            0.024188,            0.009703,            0.009703,            0.009703
                  11,            0.051456,            0.074018,            0.029066,             0.59268,             0.40918,             0.43896,             0.23643,            0.051003,            0.055445,            0.022071,             0.00967,             0.00967,             0.00967
                  12,            0.051174,            0.074608,            0.027848,             0.59147,             0.40975,             0.44641,             0.24347,            0.050982,            0.055702,            0.022185,            0.009637,            0.009637,            0.009637
                  13,            0.051007,            0.073879,            0.027257,             0.57956,             0.42037,             0.45869,               0.251,            0.050419,            0.055028,            0.021359,            0.009604,            0.009604,            0.009604
                  14,            0.050209,            0.073446,            0.026823,             0.56306,             0.42549,             0.44692,             0.24919,            0.050637,              0.0552,              0.0216,            0.009571,            0.009571,            0.009571
                  15,            0.050343,            0.071363,            0.026529,             0.59542,             0.43164,             0.46882,             0.26108,              0.0504,             0.05444,            0.021045,            0.009538,            0.009538,            0.009538
                  16,            0.050206,            0.073186,            0.026047,             0.59524,             0.45034,             0.48468,             0.27004,            0.049688,            0.053657,            0.020309,            0.009505,            0.009505,            0.009505
                  17,            0.050472,            0.072414,            0.025541,             0.60674,             0.45094,             0.48885,             0.26975,            0.050461,            0.053347,            0.020293,            0.009472,            0.009472,            0.009472
                  18,            0.049875,              0.0709,            0.025541,             0.61552,             0.44509,             0.48042,             0.27123,            0.049908,            0.053734,            0.020524,            0.009439,            0.009439,            0.009439
                  19,            0.049611,            0.071817,            0.024593,             0.56959,             0.46842,             0.48957,             0.27357,            0.049528,              0.0541,            0.019967,            0.009406,            0.009406,            0.009406
                  20,            0.049288,            0.070524,             0.02422,             0.64537,             0.45232,             0.50199,             0.28431,            0.049245,              0.0534,            0.020033,            0.009373,            0.009373,            0.009373
                  21,            0.049199,            0.070379,            0.024036,             0.60392,             0.48266,             0.52264,             0.29361,            0.048777,            0.052909,            0.018512,             0.00934,             0.00934,             0.00934
                  22,            0.048937,            0.070967,            0.023495,             0.61878,             0.47587,             0.51798,             0.29978,            0.048644,            0.052155,            0.019146,            0.009307,            0.009307,            0.009307
                  23,             0.04897,             0.06906,            0.023251,             0.61857,             0.48833,             0.52673,             0.30179,            0.048777,            0.052515,            0.018888,            0.009274,            0.009274,            0.009274
                  24,            0.048244,            0.068251,            0.022704,             0.66127,             0.46382,             0.52778,              0.3042,            0.048288,            0.051843,            0.018748,            0.009241,            0.009241,            0.009241
                  25,            0.048328,            0.070359,            0.022873,             0.65429,             0.48819,             0.53893,             0.31191,            0.048193,            0.052463,            0.018082,            0.009208,            0.009208,            0.009208
                  26,            0.048176,            0.069138,            0.022178,             0.65962,             0.49099,             0.54231,             0.31285,            0.047912,            0.051939,            0.018583,            0.009175,            0.009175,            0.009175
                  27,            0.047962,            0.067737,            0.022326,             0.66291,             0.48659,             0.54062,             0.31587,            0.047965,            0.052074,            0.018319,            0.009142,            0.009142,            0.009142
                  28,             0.04782,            0.069477,             0.02205,             0.68092,             0.48599,             0.54575,             0.31195,            0.047775,            0.051364,            0.017976,            0.009109,            0.009109,            0.009109
                  29,            0.047877,            0.068878,            0.021915,             0.67158,             0.49791,             0.55614,             0.32093,            0.048014,            0.051671,            0.018086,            0.009076,            0.009076,            0.009076
                  30,            0.047609,            0.068525,            0.021014,             0.67472,             0.50551,              0.5659,             0.32804,            0.047546,            0.050901,            0.017285,            0.009043,            0.009043,            0.009043
                  31,            0.047908,             0.06771,             0.02085,             0.64875,             0.50917,             0.55365,             0.32733,            0.047307,            0.051472,            0.017762,             0.00901,             0.00901,             0.00901
                  32,            0.047125,            0.067099,            0.020656,             0.70145,             0.49051,             0.56027,             0.33303,            0.047426,            0.050741,            0.017021,            0.008977,            0.008977,            0.008977
                  33,            0.047732,            0.067865,            0.020677,             0.65728,             0.51458,             0.56524,             0.33715,            0.047033,            0.050735,            0.017304,            0.008944,            0.008944,            0.008944
                  34,            0.047033,            0.067275,            0.020383,             0.69488,             0.51179,             0.58123,             0.33906,            0.046939,            0.050323,            0.017228,            0.008911,            0.008911,            0.008911
