               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099341,            0.098574,            0.095465,          5.0494e-05,           0.0052194,          8.5648e-05,           1.913e-05,            0.095622,            0.065205,            0.087874,             0.07015,           0.0033167,           0.0033167
                   1,            0.090223,            0.088341,            0.087768,           0.0027784,            0.038795,           0.0026177,          0.00084479,            0.088013,            0.066082,            0.081428,            0.040128,           0.0066281,           0.0066281
                   2,            0.083968,            0.089742,            0.081328,           0.0038924,            0.097998,           0.0071314,           0.0022411,             0.08469,            0.065163,            0.075691,            0.010084,           0.0099174,           0.0099174
                   3,            0.079063,            0.088454,            0.075812,              0.3625,            0.046536,            0.012182,           0.0043899,            0.080418,            0.069705,            0.069162,            0.009901,            0.009901,            0.009901
                   4,            0.075591,            0.088346,            0.070798,             0.47431,            0.033252,            0.023114,           0.0079378,             0.07613,            0.065602,            0.066023,            0.009901,            0.009901,            0.009901
                   5,            0.073121,            0.087704,            0.067097,             0.44267,            0.051312,              0.0292,            0.011676,            0.074934,            0.065506,            0.063941,            0.009868,            0.009868,            0.009868
                   6,            0.071728,            0.086611,            0.064994,             0.37493,            0.059581,            0.041383,            0.015528,            0.072616,            0.065058,            0.061553,            0.009835,            0.009835,            0.009835
                   7,            0.070202,            0.086489,            0.063179,             0.44875,            0.064235,            0.039541,            0.015707,            0.073527,            0.066148,            0.061121,            0.009802,            0.009802,            0.009802
                   8,            0.068879,            0.085925,             0.06087,             0.43135,             0.10069,            0.069328,            0.028941,            0.069848,            0.064287,            0.054622,            0.009769,            0.009769,            0.009769
                   9,            0.068683,            0.086636,             0.05968,             0.37861,              0.1109,            0.075049,            0.030867,            0.068997,            0.063822,            0.052715,            0.009736,            0.009736,            0.009736
                  10,            0.067517,            0.085711,            0.057946,             0.38943,             0.11758,            0.083343,            0.035763,            0.068231,            0.064641,            0.052544,            0.009703,            0.009703,            0.009703
                  11,            0.066823,            0.085015,            0.056912,             0.33604,             0.13194,            0.094636,              0.0423,            0.067392,            0.063174,             0.05018,             0.00967,             0.00967,             0.00967
                  12,            0.066339,            0.086503,            0.055784,             0.41846,             0.14158,             0.10692,            0.045845,            0.066682,             0.06312,             0.04986,            0.009637,            0.009637,            0.009637
                  13,             0.06589,            0.085457,            0.054455,             0.37932,             0.15798,             0.10809,            0.047997,            0.066126,            0.063533,            0.048337,            0.009604,            0.009604,            0.009604
                  14,            0.065074,            0.085009,            0.053902,             0.39587,             0.14764,             0.11379,            0.051387,            0.066361,             0.06518,            0.046523,            0.009571,            0.009571,            0.009571
                  15,            0.064357,            0.082794,            0.052586,             0.40125,             0.16662,             0.12985,            0.055376,            0.065495,            0.062076,            0.044978,            0.009538,            0.009538,            0.009538
                  16,            0.064218,            0.084938,            0.051423,             0.41246,             0.16986,             0.13791,            0.062712,            0.064799,            0.062638,            0.045291,            0.009505,            0.009505,            0.009505
