               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043963,             0.06956,            0.021991,               0.654,             0.52672,             0.56779,             0.35377,            0.043678,            0.049611,            0.015343,             0.07015,           0.0033167,           0.0033167
                   1,            0.045856,            0.070128,            0.022696,             0.63837,             0.47678,             0.52495,             0.31339,            0.046499,            0.050701,            0.017439,            0.040084,           0.0065842,           0.0065842
                   2,            0.048514,            0.071876,            0.024227,             0.61803,             0.47536,             0.51792,              0.2941,            0.048786,            0.051021,            0.017638,           0.0099523,           0.0097857,           0.0097857
                   3,             0.05008,            0.072595,            0.027499,              0.5994,              0.4402,              0.4797,             0.26653,            0.049543,            0.053024,             0.02031,            0.009703,            0.009703,            0.009703
                   4,            0.050938,            0.073207,            0.027296,             0.59766,             0.44954,              0.4884,             0.27033,            0.049477,            0.051997,              0.0193,            0.009703,            0.009703,            0.009703
                   5,            0.050622,            0.073094,            0.027148,              0.5901,             0.46285,             0.49088,             0.27061,             0.04992,            0.051398,            0.018323,            0.009604,            0.009604,            0.009604
                   6,             0.05042,             0.07202,            0.026455,             0.58629,             0.44943,             0.48229,             0.25402,             0.05052,            0.052267,            0.018916,            0.009505,            0.009505,            0.009505
                   7,            0.049902,            0.071393,            0.025619,             0.60485,             0.42976,             0.47276,             0.25674,             0.05062,             0.05276,            0.020051,            0.009406,            0.009406,            0.009406
                   8,            0.049705,            0.071145,            0.025508,             0.62781,             0.49367,             0.53257,             0.29304,            0.048817,            0.050868,            0.015836,            0.009307,            0.009307,            0.009307
                   9,            0.049791,            0.071299,            0.024459,              0.6269,             0.49092,             0.53645,             0.29532,             0.04867,            0.050638,            0.016651,            0.009208,            0.009208,            0.009208
                  10,            0.049807,            0.070431,            0.024027,             0.64221,             0.51531,             0.55765,             0.31285,            0.047325,            0.049096,            0.015104,            0.009109,            0.009109,            0.009109
                  11,            0.049137,            0.069944,            0.023628,             0.66377,             0.51577,             0.56917,             0.31724,            0.047217,            0.049483,            0.014324,             0.00901,             0.00901,             0.00901
                  12,            0.048908,            0.070683,             0.02272,              0.6747,             0.53173,             0.59188,             0.33014,             0.04707,            0.048027,            0.013546,            0.008911,            0.008911,            0.008911
                  13,            0.048687,            0.070195,              0.0225,              0.6787,             0.54346,             0.60232,             0.34229,            0.046274,             0.04814,            0.013368,            0.008812,            0.008812,            0.008812
                  14,            0.048234,            0.069704,            0.022183,             0.67793,             0.55805,             0.61719,             0.34775,            0.045979,            0.047875,            0.012755,            0.008713,            0.008713,            0.008713
                  15,            0.048088,            0.067282,            0.021559,             0.68267,             0.54493,             0.60671,             0.34458,            0.046241,            0.047449,            0.012639,            0.008614,            0.008614,            0.008614
                  16,            0.047991,            0.069224,            0.021467,             0.69159,             0.56194,             0.62505,             0.34985,            0.045812,            0.046491,            0.011973,            0.008515,            0.008515,            0.008515
                  17,            0.048298,            0.068396,            0.020584,             0.72107,             0.57875,             0.64687,             0.37116,            0.045017,            0.045921,             0.01152,            0.008416,            0.008416,            0.008416
                  18,            0.047321,            0.066779,            0.020925,             0.71543,             0.57216,             0.64505,             0.36918,            0.044791,            0.046085,            0.011722,            0.008317,            0.008317,            0.008317
                  19,            0.047439,            0.067655,            0.020111,             0.69956,             0.59258,             0.65325,              0.3781,            0.044825,            0.045693,             0.01099,            0.008218,            0.008218,            0.008218
                  20,            0.046877,            0.066372,            0.019751,             0.72913,             0.58321,             0.66315,             0.38778,            0.044734,            0.045639,            0.010699,            0.008119,            0.008119,            0.008119
                  21,            0.046706,             0.06637,            0.019582,             0.74559,             0.59884,             0.67542,             0.39752,             0.04393,            0.045258,            0.010305,             0.00802,             0.00802,             0.00802
                  22,            0.046576,             0.06668,            0.019037,             0.74963,             0.60485,             0.68403,             0.40245,            0.043855,            0.044256,            0.010182,            0.007921,            0.007921,            0.007921
                  23,             0.04663,            0.065073,            0.018921,             0.74215,             0.62451,             0.69823,             0.41156,            0.043477,            0.044371,           0.0097964,            0.007822,            0.007822,            0.007822
                  24,            0.045886,            0.064185,            0.018306,             0.74364,             0.63164,             0.70432,             0.41588,             0.04349,            0.043867,           0.0095013,            0.007723,            0.007723,            0.007723
                  25,            0.045851,            0.066128,            0.018171,             0.77664,             0.62727,             0.71204,             0.42361,            0.042938,            0.043533,            0.009327,            0.007624,            0.007624,            0.007624
                  26,            0.045816,            0.064783,            0.017828,             0.75492,              0.6368,              0.7143,             0.42407,            0.043046,            0.043349,           0.0094039,            0.007525,            0.007525,            0.007525
                  27,            0.045474,            0.063475,            0.017876,             0.76859,             0.63494,             0.72285,             0.42945,            0.042494,            0.042312,           0.0088352,            0.007426,            0.007426,            0.007426
                  28,            0.045229,            0.064932,            0.017578,             0.76851,             0.65143,             0.73153,             0.44029,            0.042041,            0.042117,            0.008533,            0.007327,            0.007327,            0.007327
                  29,             0.04524,            0.064255,            0.017297,             0.76346,             0.65136,             0.73346,             0.44122,            0.042036,            0.042217,           0.0083757,            0.007228,            0.007228,            0.007228
                  30,            0.044939,            0.063858,            0.016741,             0.77671,              0.6642,             0.74543,             0.45249,             0.04177,            0.041522,           0.0082092,            0.007129,            0.007129,            0.007129
                  31,            0.045185,            0.063108,            0.016718,             0.79847,             0.66515,             0.75106,             0.45926,            0.041332,            0.041628,           0.0081097,             0.00703,             0.00703,             0.00703
                  32,            0.044487,            0.062461,            0.016539,             0.78429,             0.65978,             0.74972,             0.45519,            0.041362,            0.041236,           0.0082155,            0.006931,            0.006931,            0.006931
                  33,            0.044801,             0.06326,            0.016398,             0.80239,             0.66765,             0.75888,             0.46748,            0.040988,            0.040732,            0.007828,            0.006832,            0.006832,            0.006832
                  34,            0.044369,             0.06259,            0.016247,             0.79468,             0.68082,             0.76233,              0.4709,            0.041019,            0.041198,           0.0073848,            0.006733,            0.006733,            0.006733
                  35,            0.044145,              0.0625,            0.015953,             0.80798,             0.67422,             0.76775,             0.47462,            0.040968,            0.040615,           0.0076377,            0.006634,            0.006634,            0.006634
                  36,            0.044041,            0.062099,            0.015902,             0.81829,             0.68194,             0.77453,             0.48029,            0.040499,            0.040221,           0.0075154,            0.006535,            0.006535,            0.006535
                  37,            0.043914,            0.062249,            0.015596,             0.81856,              0.6975,             0.78277,             0.49199,            0.040109,            0.039594,           0.0070476,            0.006436,            0.006436,            0.006436
                  38,            0.043677,            0.062047,            0.015537,             0.80792,             0.69622,             0.77828,             0.48409,            0.040083,            0.040063,           0.0071232,            0.006337,            0.006337,            0.006337
                  39,            0.043601,            0.060565,            0.015361,             0.81755,             0.68936,             0.78414,             0.48708,            0.040126,            0.039655,           0.0069559,            0.006238,            0.006238,            0.006238
                  40,            0.043184,            0.060265,            0.015353,             0.81555,             0.71069,             0.79312,             0.49582,            0.039751,            0.039293,           0.0068216,            0.006139,            0.006139,            0.006139
                  41,            0.043071,            0.060198,             0.01474,             0.82761,             0.71616,             0.79976,             0.50302,            0.039458,            0.039073,           0.0066485,             0.00604,             0.00604,             0.00604
                  42,            0.043269,            0.061656,            0.014344,              0.8238,             0.71992,             0.79993,             0.50508,            0.039348,            0.038771,           0.0064611,            0.005941,            0.005941,            0.005941
                  43,            0.042698,            0.060278,            0.014818,             0.82204,             0.71393,             0.79941,             0.51092,            0.039216,            0.038766,           0.0064368,            0.005842,            0.005842,            0.005842
                  44,            0.042638,            0.060384,            0.014471,             0.82967,             0.72166,             0.80657,             0.50917,             0.03907,            0.038149,           0.0062564,            0.005743,            0.005743,            0.005743
                  45,            0.042607,            0.059522,            0.014272,             0.84362,             0.72875,             0.81538,             0.52004,             0.03862,            0.037722,           0.0060119,            0.005644,            0.005644,            0.005644
                  46,            0.042177,            0.060319,            0.014032,              0.8421,              0.7329,             0.81734,             0.52701,            0.038483,            0.037826,           0.0059372,            0.005545,            0.005545,            0.005545
                  47,            0.042043,            0.058179,            0.014124,             0.83379,             0.73222,              0.8154,             0.52062,            0.038608,            0.037901,           0.0059957,            0.005446,            0.005446,            0.005446
                  48,            0.042121,            0.058344,            0.013757,             0.83897,             0.73484,             0.81734,             0.52779,            0.038264,            0.037514,           0.0058599,            0.005347,            0.005347,            0.005347
                  49,            0.041784,            0.059371,            0.014028,             0.84853,             0.73858,             0.82282,             0.53176,            0.038144,            0.037384,           0.0058258,            0.005248,            0.005248,            0.005248
                  50,            0.042141,            0.058056,            0.013723,             0.84993,             0.73298,             0.82127,             0.53282,            0.037942,            0.037109,           0.0058576,            0.005149,            0.005149,            0.005149
                  51,            0.041276,            0.058648,            0.013191,             0.86215,             0.74748,             0.83106,             0.54292,            0.037485,            0.036527,           0.0054885,             0.00505,             0.00505,             0.00505
                  52,             0.04116,            0.058192,            0.013226,             0.87045,             0.73823,             0.83248,             0.54252,            0.037414,            0.036696,           0.0054553,            0.004951,            0.004951,            0.004951
                  53,            0.040986,            0.056791,            0.013104,             0.85438,             0.75188,             0.83633,              0.5452,            0.037457,            0.036348,           0.0054505,            0.004852,            0.004852,            0.004852
                  54,            0.041523,            0.058776,            0.013453,             0.85974,             0.75809,              0.8409,             0.54862,            0.037224,            0.036231,           0.0052502,            0.004753,            0.004753,            0.004753
                  55,            0.040848,            0.056317,            0.013069,             0.85903,             0.76216,             0.84218,             0.55718,            0.036963,            0.036034,           0.0052052,            0.004654,            0.004654,            0.004654
                  56,            0.040797,            0.057395,            0.012869,             0.85578,             0.76682,             0.84457,             0.55855,            0.037004,            0.036031,           0.0051435,            0.004555,            0.004555,            0.004555
                  57,            0.040815,            0.056646,            0.012631,             0.86349,             0.76076,             0.84018,             0.55492,            0.036793,            0.035614,           0.0051332,            0.004456,            0.004456,            0.004456
                  58,            0.040875,            0.058503,            0.012633,             0.87598,             0.76488,             0.84934,             0.56567,            0.036624,            0.035214,           0.0050436,            0.004357,            0.004357,            0.004357
                  59,            0.040287,            0.055906,            0.012671,              0.8648,              0.7664,             0.84623,             0.56494,            0.036436,            0.035719,           0.0051438,            0.004258,            0.004258,            0.004258
                  60,            0.040444,            0.056034,            0.012067,             0.87279,             0.77694,             0.85383,             0.57112,            0.036407,            0.035006,           0.0049891,            0.004159,            0.004159,            0.004159
                  61,            0.040127,            0.056368,             0.01212,              0.8705,              0.7818,             0.85651,             0.57482,            0.036016,            0.034787,           0.0048409,             0.00406,             0.00406,             0.00406
                  62,            0.040275,            0.056644,             0.01202,             0.88064,             0.77764,             0.85954,              0.5776,            0.036014,            0.034546,           0.0047774,            0.003961,            0.003961,            0.003961
                  63,            0.039803,            0.055785,            0.011931,             0.88007,             0.78422,             0.86192,             0.57884,            0.035917,            0.034526,           0.0047641,            0.003862,            0.003862,            0.003862
                  64,            0.039855,            0.055661,            0.011959,             0.88103,             0.78288,             0.86236,             0.57933,            0.035684,            0.034291,            0.004637,            0.003763,            0.003763,            0.003763
                  65,            0.039682,            0.054478,            0.011701,             0.88083,             0.78352,             0.86372,             0.58341,            0.035613,            0.034283,           0.0046406,            0.003664,            0.003664,            0.003664
                  66,            0.039766,            0.055577,            0.011703,              0.8886,              0.7837,             0.86338,             0.58333,            0.035546,              0.0339,           0.0045836,            0.003565,            0.003565,            0.003565
                  67,            0.039517,            0.055409,            0.011455,             0.88467,             0.78963,             0.86742,             0.59218,            0.035337,            0.033777,            0.004463,            0.003466,            0.003466,            0.003466
                  68,            0.039162,            0.054385,            0.011588,             0.89113,             0.79396,             0.87014,             0.59274,            0.035165,            0.033607,           0.0044075,            0.003367,            0.003367,            0.003367
                  69,            0.039325,            0.054939,            0.011544,             0.88339,             0.79707,             0.87156,             0.59642,            0.035123,            0.033468,           0.0043606,            0.003268,            0.003268,            0.003268
                  70,            0.038837,            0.053963,            0.011293,              0.8961,              0.7924,             0.87229,             0.59773,            0.034847,            0.032968,           0.0042499,            0.003169,            0.003169,            0.003169
                  71,            0.038691,            0.054067,            0.010942,             0.88857,             0.79857,             0.87328,             0.60007,             0.03485,            0.033221,           0.0042268,             0.00307,             0.00307,             0.00307
                  72,            0.038385,            0.053096,            0.011064,             0.89033,              0.7975,              0.8764,             0.59913,            0.034662,            0.033031,           0.0041404,            0.002971,            0.002971,            0.002971
                  73,            0.038385,            0.053074,            0.010933,             0.89871,             0.80117,             0.87799,             0.60452,            0.034469,            0.032776,           0.0041951,            0.002872,            0.002872,            0.002872
                  74,            0.038296,            0.053071,            0.010802,             0.89707,             0.80817,             0.88144,             0.60854,            0.034348,            0.032486,           0.0040804,            0.002773,            0.002773,            0.002773
                  75,            0.038251,            0.052785,            0.010868,             0.90571,             0.80523,             0.88176,              0.6115,            0.034166,             0.03238,           0.0040498,            0.002674,            0.002674,            0.002674
                  76,            0.038409,            0.053295,            0.010601,             0.90025,              0.8098,             0.88333,              0.6139,            0.034069,            0.032162,           0.0039404,            0.002575,            0.002575,            0.002575
                  77,            0.038133,            0.053069,            0.010634,             0.90426,              0.8127,             0.88494,             0.61726,            0.033882,            0.032132,           0.0039481,            0.002476,            0.002476,            0.002476
                  78,            0.037881,            0.052416,            0.010659,             0.90683,             0.80928,             0.88696,             0.61654,            0.033898,            0.031997,           0.0039653,            0.002377,            0.002377,            0.002377
                  79,            0.037705,            0.052302,            0.010323,             0.90395,              0.8139,              0.8873,             0.61908,            0.033788,            0.031958,           0.0038979,            0.002278,            0.002278,            0.002278
                  80,            0.037582,            0.052124,            0.010573,             0.90898,             0.81607,             0.88948,             0.62436,            0.033527,            0.031648,           0.0038122,            0.002179,            0.002179,            0.002179
                  81,            0.037475,            0.051595,            0.010266,             0.91029,             0.81819,             0.88962,             0.62294,            0.033513,            0.031611,           0.0037746,             0.00208,             0.00208,             0.00208
                  82,            0.037228,            0.051601,             0.01027,             0.90833,             0.81636,             0.88915,             0.62464,            0.033409,            0.031625,           0.0037291,            0.001981,            0.001981,            0.001981
                  83,             0.03732,            0.050444,            0.010136,             0.90862,             0.81857,             0.89183,             0.62774,            0.033326,            0.031143,            0.003704,            0.001882,            0.001882,            0.001882
                  84,            0.037265,            0.051089,            0.010126,             0.91016,             0.82688,               0.894,             0.63237,            0.033155,            0.031118,           0.0036475,            0.001783,            0.001783,            0.001783
                  85,            0.036971,            0.051338,           0.0099656,             0.91604,             0.81979,             0.89413,             0.63287,            0.032945,            0.030904,           0.0036206,            0.001684,            0.001684,            0.001684
                  86,            0.036924,            0.051762,            0.010206,             0.91368,             0.82783,             0.89579,             0.63737,            0.032916,            0.030901,           0.0036118,            0.001585,            0.001585,            0.001585
                  87,            0.036582,            0.050745,           0.0098255,             0.91338,              0.8321,             0.89671,             0.63661,            0.032813,             0.03076,           0.0035987,            0.001486,            0.001486,            0.001486
                  88,            0.036678,            0.051244,           0.0097458,             0.92009,             0.82911,             0.89839,             0.64047,            0.032649,            0.030536,           0.0035509,            0.001387,            0.001387,            0.001387
                  89,            0.036584,             0.05103,           0.0094355,             0.91537,             0.82934,             0.89649,             0.64099,            0.032672,            0.030616,           0.0035381,            0.001288,            0.001288,            0.001288
                  90,            0.036283,            0.049431,           0.0097263,             0.91652,              0.8282,             0.89701,             0.64055,            0.032589,            0.030404,           0.0035097,            0.001189,            0.001189,            0.001189
                  91,            0.035859,            0.049708,           0.0094415,             0.91404,             0.83469,             0.89865,             0.64613,             0.03238,              0.0301,           0.0034505,             0.00109,             0.00109,             0.00109
                  92,            0.036285,             0.05014,           0.0095024,             0.91413,             0.83574,             0.89973,             0.64574,            0.032338,            0.030128,           0.0034181,            0.000991,            0.000991,            0.000991
                  93,             0.03584,            0.049491,           0.0093943,             0.91792,             0.83685,             0.90158,             0.64917,            0.032216,            0.029958,           0.0034017,            0.000892,            0.000892,            0.000892
                  94,            0.035935,            0.050097,           0.0093768,             0.91665,             0.83676,             0.90188,              0.6492,            0.032173,             0.02997,           0.0033722,            0.000793,            0.000793,            0.000793
                  95,            0.036043,            0.049548,           0.0092886,             0.91836,             0.83955,             0.90321,             0.65215,            0.032087,            0.029778,           0.0033295,            0.000694,            0.000694,            0.000694
                  96,            0.036116,            0.050496,           0.0093302,             0.92123,             0.83551,              0.9034,             0.65213,            0.032049,            0.029842,           0.0033438,            0.000595,            0.000595,            0.000595
                  97,            0.035953,            0.050395,           0.0090827,             0.92156,             0.83858,             0.90334,              0.6542,            0.032001,            0.029798,           0.0033129,            0.000496,            0.000496,            0.000496
                  98,            0.035786,            0.048726,           0.0092115,             0.92276,             0.83911,             0.90489,             0.65692,            0.031873,            0.029548,           0.0032878,            0.000397,            0.000397,            0.000397
                  99,            0.035489,            0.048201,           0.0090031,             0.92713,             0.83687,             0.90488,             0.65825,             0.03181,            0.029491,           0.0032744,            0.000298,            0.000298,            0.000298
